task,model,dataset,steps,batch_size,seq_len,seed,device,train_seconds,train_loss_last,train_loss_mean_last_10,val_loss,val_bpb,val_perplexity,num_params,lr_warmup_steps,checkpoint_path
language_modeling,transformer,wikitext2-bytes,80,8,256,7,mps,2.0621204579947516,3.6402547359466553,3.714662957191467,3.6512074768543243,5.267578920114438,38.52115137709507,231232,8,/Users/xiaol/x/PaperX/auto_research_llm_ideas/results/_long_context_transfer_seq256_v1/lm/transformer/transformer_lm.pt
language_modeling,triple-hybrid-assoc-gated-last-logits,wikitext2-bytes,80,8,256,7,mps,211.70841454103356,2.7390034198760986,2.828004336357117,2.6959273517131805,3.889401020913522,14.819255044670374,223131,8,/Users/xiaol/x/PaperX/auto_research_llm_ideas/results/_long_context_transfer_seq256_v1/lm/triple-hybrid-assoc-gated-last-logits/triple-hybrid-assoc-gated-last-logits_lm.pt
