model,seq_len,total_flops,total_mflops,qkv_proj,attn_out_proj,attn_scores,attn_reduce,ffn,lm_head,relative_to_transformer,recurrent_proj,recurrent_memory,output_proj,local_conv,assoc_proj,assoc_scores,assoc_topk_mix,assoc_read_gate,assoc_write_gate,assoc_lm_head
transformer,64,24141824,24.142,4718592,1572864,1572864,1572864,12582912,2121728,1.0,,,,,,,,,,
triple-hybrid,64,21755904,21.756,,,,,12582912,2121728,0.9012,3342336,301056,786432,2621440,,,,,,
triple-hybrid-assoc-gated-last-logits,64,25777664,25.778,,,,,12582912,2121728,1.0678,3342336,301056,786432,2621440,1572864,258048,60928,8192,0,2121728
transformer,128,54575104,54.575,9437184,3145728,6291456,6291456,25165824,4243456,1.0,,,,,,,,,,
triple-hybrid,128,43511808,43.512,,,,,25165824,4243456,0.7973,6684672,602112,1572864,5242880,,,,,,
triple-hybrid-assoc-gated-last-logits,128,52084224,52.084,,,,,25165824,4243456,0.9544,6684672,602112,1572864,5242880,3145728,1040384,126464,16384,0,4243456
transformer,512,369295360,369.295,37748736,12582912,100663296,100663296,100663296,16973824,1.0,,,,,,,,,,
triple-hybrid,512,174047232,174.047,,,,,100663296,16973824,0.4713,26738688,2408448,6291456,20971520,,,,,,
triple-hybrid-assoc-gated-last-logits,512,220933632,220.934,,,,,100663296,16973824,0.5983,26738688,2408448,6291456,20971520,12582912,16744448,519680,65536,0,16973824
